url,title
,
http://blogs.wsj.com/digits/2014/10/03/google-to-make-security-guards-as-employees-rather-than-contractors/,"Google to Make Security Guards Employees, Rather Than Contractors"
,
http://sebastianraschka.com/Articles/2014_naive_bayes_1.html,Naive Bayes and Text Classification I – Introduction and Theory
,
http://www.washingtonpost.com/sf/national/2014/10/04/how-ebola-sped-out-of-control/,How the world’s health organizations failed to stop the Ebola disaster
,
http://blog.cryptographyengineering.com/2014/10/why-cant-apple-decrypt-your-iphone.html,Why can't Apple decrypt your iPhone?
,
http://cdixon.org/2014/10/04/some-ideas-for-native-bitcoin-apps/,Some ideas for native Bitcoin apps
,
http://www.economist.com/news/science-and-technology/21621704-new-type-software-helps-researchers-decide-what-they-should-be-looking,A new type of software helps researchers decide what they should be looking for
,
http://www.cs.cmu.edu/~aldrich/papers/objects-essay.pdf,The Power of Interoperability: Why Objects Are Inevitable (2013) [pdf]
,
http://aviation.stackexchange.com/questions/3300/why-havent-quadcopters-been-scaled-up-yet,Why haven't quadcopters been scaled up yet?
,
http://arxiv.org/pdf/1312.6184v5.pdf,Do Deep Nets Really Need to be Deep? [pdf]
,
http://www.zdnet.com/fraud-possible-in-brazils-e-voting-system-7000034341,Fraud possible in Brazil's e-voting system
,
http://blog.hostilefork.com/where-printf-rubber-meets-road/,Where the Printf Rubber Meets the Road (2010)
,
http://www.salon.com/2002/08/03/deleteddomains/,"I come to bury IAmCarbonatedMilk.com, not to praise it (2002)"
,
http://www.bbc.com/news/health-29485996,First womb-transplant baby born
,
http://www.bbc.com/future/story/20141003-the-mind-tricks-of-scammers,How con artists trick your mind
,
http://tibleiz.net/code-browser/index.html,Code Browser – A Folding Text Editor
,
http://m.bbc.com/news/science-environment-29465446,Satellites detect 'thousands' of new ocean-bottom mountains
,
http://www.nongnu.org/txr,TXR: A Programming Language for Convenient Data Munging
,
http://www.aristeia.com/Papers/DDJ_Jul_Aug_2004_revised.pdf,C++ and the Perils of Double-Checked Locking (2004) [pdf]
,
http://www.cl.cam.ac.uk/~mgk25/time/c/,Modernized time.h for ISO C (1998)
,
http://www.nytimes.com/2014/10/04/business/media/times-articles-removed-from-google-results-in-europe.html,Times Articles Removed from Google Results in Europe
,
http://www.nybooks.com/blogs/nyrblog/2014/oct/01/books-we-talk-about/,The Books We Talk About (and Those We Don’t)
,
http://maxbittker.github.io/Mojulo/,Show HN: Mojulo – Pixelated Math Rendering Sandbox Toy
,
https://thatgeoguy.ca/blog/2014/10/04/two-birds-and-a-liars-game/,Two birds and a liar’s game
,
http://developerblog.redhat.com/2014/09/30/overview-storage-scalability-docker/?utm_content=buffer8a955&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,Storage Scalability in Docker
,
http://blogs.gentoo.org/blueness/2014/10/04/lilblue-linux-release-20140925-adventures-beyond-the-land-of-posix/,Lilblue Linux: Adventures Beyond the Land of Posix
,
http://concurrencyfreaks.blogspot.com/2014/10/linked-lists-with-wait-free-reads-in-c.html,Linked lists with wait-free reads in C++
,
http://www.symmetrymagazine.org/article/september-2014/cern-turns-60,CERN turns 60
,
https://github.com/rmdir/sthttpd,Sthttpd: Tiny and fast http server with a mature codebase
,
item?id=8411263,Airware (YC W13) is hiring SF engineers to work with commercial drones
,
http://www.excepterror.com,New tool helps debug Java exceptions faster
news?p=2,More
